Location,Hotel Name,Google Ratings,Hotel Link,Star,Season Name,Season Start,Season End,Category Type,Room/Item Name,Meal Plan,Price
Mumbai,Hotel Taj Mumbai,4.9,https://www.google.com/t,5,OCP,08-07-2026,31-12-2026,Extra,Child without Bed (CNB),AP,3700
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Room,Deluxe Room,CP,8500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Room,Deluxe Room,MAP,10000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Room,Deluxe Room,AP,12000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Room,Executive Suite,CP,15000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Room,Executive Suite,MAP,17000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Room,Executive Suite,AP,19000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Extra Bed (Adult),CP,2500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Extra Bed (Adult),MAP,3500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Extra Bed (Adult),AP,4500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Extra Bed (Child),CP,1500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Extra Bed (Child),MAP,2500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Extra Bed (Child),AP,3500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Child without Bed (CNB),CP,800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Child without Bed (CNB),MAP,1800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,Sales,01-Jan-26,07-07-2026,Extra,Child without Bed (CNB),AP,2800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Room,Deluxe Room,CP,9500
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Room,Deluxe Room,MAP,11000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Room,Deluxe Room,AP,13000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Room,Executive Suite,CP,16000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Room,Executive Suite,MAP,18000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Room,Executive Suite,AP,20000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Extra Bed (Adult),CP,2800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Extra Bed (Adult),MAP,3800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Extra Bed (Adult),AP,4800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Extra Bed (Child),CP,1800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Extra Bed (Child),MAP,2800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Extra Bed (Child),AP,3800
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Child without Bed (CNB),CP,1000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Child without Bed (CNB),MAP,2000
Lonavala,Fariyas Resort,4.2,https://www.google.com/t,4,OCP,08-07-2026,31-12-2026,Extra,Child without Bed (CNB),AP,3000
